week,block,workout_day_name,focus,exercise_order,source_pdf_page,exercise_name,exercise_video_url,substitution_option_1,substitution_option_1_video_url,substitution_option_2,substitution_option_2_video_url,last_set_intensity_technique,warmup_sets,working_sets,reps,early_set_rpe,last_set_rpe,rest,notes
2,Foundation Block,Lower,Strength Focus,1,10,Nordic Ham Curl,https://youtu.be/fzpYiRtzmFA?si=M3BGSywSskWqGRnE,Seated Leg Curl,https://youtu.be/yv0aAY7M1mk?si=Z1Cx7ih-vWTSTqq-,Lying Leg Curl,https://youtu.be/sX4tGtcc62k?si=mparE5f2nb9KfXPl,Failure + LLPs (Extend set),2,2,8-10,~8-9,10,1-2 min,Set the machine so that you get the biggest stretch possible at the bottom. Prevent your butt from popping up as you curl.
2,Foundation Block,Lower,Strength Focus,2,10,High-Bar Back Squat,https://youtu.be/V-B_Y-OvOTQ?si=3cSY6hI1IDiedc8y,DB Bulgarian Split Squat,https://youtu.be/htDXu61MPio?si=WNsXh0BmNMXONRHP,Smith Machine Squat,https://www.youtube.com/watch?v=J2D2J7RO_tA,Failure,2-4,3,6-8,~8-9,10,3-5 min,"Once you are under the bar, set up your feet as you would a normal squat and then bring them forward ~3-6 inches. This will cause you to lean back into the bar slightly, allowing for a more upright squat, while also placing more tension on the quads. If your heels are raising at the bottom, you may need to bring your feet more forward. If your feet feel like they are slipping or your lower back is rounding at the bottom, try bringing your feet back a bit."
2,Foundation Block,Lower,Strength Focus,3,10,Snatch-Grip RDL,https://www.youtube.com/watch?v=b8fmEaXHapU,DB RDL,https://www.youtube.com/watch?v=VRwSgUoj7uI,Barbell RDL,https://www.youtube.com/watch?v=3fJwfg51cv0,Failure,2-4,3,6-8,~8-9,10,2-3 min,"To keep tension on the hamstrings, stop about 75% of the way to full lockout on each rep (i.e. stay in the bottom 3/4 of the range of motion)."
2,Foundation Block,Lower,Strength Focus,4,10,Sissy Squat,https://youtu.be/eWAjlO4FWPQ?si=CaRzMpTB37IdGgpM,Reverse Nordic,https://youtu.be/D-kqUKEQZZ0?si=1i2hWkoG06CDuFmq,Leg Extension,https://youtu.be/uFbNtqP966A?si=3mIG7OVH30gHjNhd,Failure,1-2,2,8-10,~8-9,10,1-2 min,Set the seat back as far as it will go while still feeling comfortable. Grab the handles as hard as you can to pull your butt down into the seat. Use a 2-3 second negative. Feel your quads pulling apart on the negative.
2,Foundation Block,Lower,Strength Focus,5,10,Leg Press Calf Press,https://youtu.be/S6DTPNZ_-F4?si=y3rx6TaVEuUONiI2,Seated Calf Raise,https://youtu.be/6pfj0G7VKdM?si=bXJmuLkyC3E3PYHW,Standing Calf Raise,https://youtu.be/6lR2JdxUh7w?si=Q_4oyceNkI-WarRg,Static Stretch (30s),1-2,2,6-8,~8-9,10,1-2 min,"1-2 second pause at the bottom of each rep. Instead of just going up onto your toes, think about rolling your ankle back and forth on the balls of your feet."
2,Foundation Block,Lower,Strength Focus,6,10,Machine Crunch,https://youtu.be/K2yKEoazT3g?si=mLbXtOh8oUF8lcIs,Decline Weighted Crunch,https://youtu.be/ZheUsKqU81M?si=r3a6FT_AqWp1nq6L,Cable Crunch,https://youtu.be/epBrpaGHMcg?si=FMV9IKBOvBkuUOZM,Failure,1,2,8-10,~8-9,10,1-2 min,Round your lower back as you crunch. Maintain a mind-muscle connection with your 6-pack.
2,Foundation Block,Pull,Hypertrophy Focus,1,11,Dual-Handle Lat Pulldown,https://youtu.be/NwQ5Ch5t5Vk?si=JHztlva6LI2NPBDC,Neutral-Grip Lat Pulldown,https://youtu.be/lA4_1F9EAFU?si=5Bh19rDwBplX5QUz,Neutral-Grip Pull- Up,https://youtu.be/b0ypSz63UGo?si=dMxuJGtxkR4jnUbb,Failure,2-3,2,8-10,~8-9,10,2-3 min,"Do these pulldowns with the handle more out in front of you, more like a cross between pullover and a pulldown. Focus on feeling your lats working more than the weight you're using."
2,Foundation Block,Pull,Hypertrophy Focus,2,11,Incline Chest- Supported DB Row,https://youtu.be/okCWuhxJEvw?si=-Q9-BAJbFeebhfpF,Chest-Supported Machine Row,https://youtu.be/ijsSiWSzYw0?si=ADBJRkNSajLiVayN,Chest-Supported T-Bar Row,https://youtu.be/q8qlHwcuOtc?si=J-TyFYuv9rwi5VTy,Failure,2-3,3,8-10,~8-9,10,2-3 min,Flare elbows out at roughly 45° and squeeze your shoulder blades together hard at the top of each rep.
2,Foundation Block,Pull,Hypertrophy Focus,3,11,Meadows Row,https://youtu.be/TwOkRqvcX_c?si=lACYBPtTFfzIMYDZ,Neutral-Grip Seated Cable Row,https://youtu.be/hM7XHxQgvLk?si=NSpgHwt_kgLsKPBY,Helms Row,https://youtu.be/DjO2G9DIerQ?si=-mwu_fgJnonsBQVX,Failure + LLPs (Extend set),1-2,2,10-12,~8-9,10,2-3 min,"Focus on squeezing your shoulder blades together, driving your elbows down and back."
2,Foundation Block,Pull,Hypertrophy Focus,4,11,Reverse Pec Deck,https://youtu.be/Y8fb_rtEU_4?si=nwaICiwwS3TatSq1,1-Arm 45° Cable Rear Delt Flye,https://www.youtube.com/watch?v=6G5DmVaocGM,Rope Face Pull,https://youtu.be/GhrVM-jPIEA?si=_qGmAZLOCDUWVHy_,Myo-reps,1-2,2,10-12,~8-9,10,1-2 min,Pause for 1-2 seconds in the squeeze of each rep. Contract the rear delts hard!
2,Foundation Block,Pull,Hypertrophy Focus,5,11,DB Shrug,https://youtu.be/moFqLlptX7Q?si=vsQXeROXKVa3beB7,Machine Shrug,https://youtu.be/ua0XuKwKQ9M?si=Y-kGNEq_riqAF2Tn,Cable Paused Shrug-In,https://youtu.be/Hy6f1Lz_PiA?si=MTEbKv_uMCL6zvge,Failure,2-3,2,10-12,~8-9,10,1-2 min,Brief pause at the top of the bottom of ROM. Think about pulling your shoulders up to your ears!
2,Foundation Block,Pull,Hypertrophy Focus,6,11,DB Curl,https://youtu.be/XxGCRSJmgwY?si=4ohHVIRqih3xCbD0,EZ-Bar Cable Curl,https://youtu.be/ck1zjNTnFew?si=EgggtiVFxulCoYXU,EZ-Bar Curl,https://youtu.be/WMrgn4GG7mI?si=0dUmQt-g_zOMm14G,Failure,1,2,10-12,~8-9,10,1-2 min,"Set up the cable at the lowest position. Maintain constant tension on the biceps. Slow, controlled reps!"
2,Foundation Block,Pull,Hypertrophy Focus,7,11,DB Preacher Curl,https://youtu.be/WTkQLAethtg?si=FftNs9g0OeiVccy2,Machine Preacher Curl,https://www.youtube.com/watch?v=R2iUnBxFtis,EZ-Bar Preacher Curl,https://youtu.be/Dn7qgf9iSH8?si=mCWsykyTRl0jYKA0,Myo-reps,1,1,12-15,,10,1-2 min,"Smooth, controlled reps. Mind-muscle connection with the biceps."
2,Foundation Block,Push,Hypertrophy Focus,1,12,DB Bench Press,https://youtu.be/zGXvPjlgVkk?si=sTJq1mF8qaCapYbx,Barbell Bench Press,https://youtu.be/nQL5ieH39sw?si=RjZSWBZ3CGKg-pax,Machine Chest Press,https://youtu.be/zDecGJLyVm8?si=VF-70ajNWU4cDHEV,Failure,2-4,3,8-10,~8-9,10,3-5 min,"Set up a comfortable arch, quick pause on the chest and explode up on each rep."
